"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","condition_confidence_scenario","criticality_overall_score","criticality_overall_score_label","criticality_operational_score","criticality_pipe_type_score","criticality_people_impacts_score","criticality_people_impacts_dataset_s_","criticality_environmental_impacts_score","criticality_environmental_impacts_dataset_s_","criticality_infiltration_score","criticality_impact_of_failure_score","criticality_flow_ratio","criticality_confidence_scenario","Risk-score"
"CONC",2010,3700,598.31,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1977,2550,347.21,2.67,"3","None","None","None","no",5,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,NA,5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,1600,320,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,319.98,2.46,"2","None","None","None","no",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1.5,0.77,1,"Diameter Used For Flow Approximation & Depth Available",16
"CONC",1964,1600,251.5,2.88,"3","None","None","None","no",5,5,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,2550,249.21,3,"3","3","2010","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,5,"NZTA",1,NA,1.5,2.005,1,"Diameter Used For Flow Approximation & Depth Available",20
"BRICK",1911,2362,227.92,3.34,"3","2","2013","CCTV Footage Review Log South_Latest.xls","no",5,1,4,"CCTV Available (10-20 Years Old) & Soil Type Available",5,5,5,5,2.5,"Property Parcels",1,"Place Of Historic Heritage - Auckland Domain/Pukekaroa/Pukekawa Hill Pa site R11_105,  including pits,  terraces,  midden,  house sites,  structures,  memorials,  water supply site,  ponds,  roads,  g",5,1.355,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,1600,156,2.88,"3","None","None","None","no",5,5,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"CONC",1964,1600,146,2.88,"3","None","None","None","no",5,5,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,"Safe Swim Beach",1,"Ocean Intercept, Significant Ecological Area - SEA-M1-23b",5,0.895,1,"Diameter Used For Flow Approximation & Depth Available",20
"BRICK",1911,1800,120.61,3.87,"4","None","None","None","no",5,1,4,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",5,5,5,5,1,NA,4,"NZ River Lines",5,1.175,1,"Diameter Used For Flow Approximation & Depth Available",23
