MATERIAL,INSTALLED,NOM_DIA_MM,LENGTH,condition_overall_score,condition_overall_score_label,condition_age_score,condition_stability_score,condition_corrositivity_score,condition_pressure_score,condition_faults_per_km_score,condition_confidence_scenario,criticality_overall_score,criticality_overall_score_label,criticality_operational_score,criticality_pipe_type_score,criticality_people_impacts_score,criticality_people_impacts_dataset_s_,criticality_environment_impacts_score,criticality_environmental_impacts_dataset_s_,criticality_3rd_party_impacts_score,criticality_3rd_party_impacts_dataset_s_,criticality_impact_of_failure_score,criticality_sqrt_flow_ratio,criticality_confidence_scenario,Risk-score
MS,1970,50,1.17,3.54,4,4,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8275,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.2,Modelled Flow Data Used,23
UNDEF,1927,1500,54.84,3.56,4,5,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,23
UNDEF,1927,1500,35.11,3.56,4,5,5,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,Significant Ecological Area - SEA_T_5539,1,NA,2.47,1,Diameter Used for Flow Approximation,23
AC,1970,150,1434.27,3.63,5,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,2.705,3,1,1,5,"Property Parcels, KiwiRail",4,"NZ River Lines, Aquifer - Kaipara Sand Aquifer",1,NA,2.17,0.2,Diameter Used for Flow Approximation,22
AC,1964,200,387.4,3,5,3,3,3,3,3,Soil Type Not Available & Modelled Pressure Not Available,2.2175,3,1,1,2.5,Property Parcels,1,NA,1,NA,1.36,0.2,Diameter Used for Flow Approximation,22
CLS,1966,760,20.15,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.2425,4,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,0.6,Modelled Flow Data Used,21
CLS,1966,760,6.89,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.07,4,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.6,Modelled Flow Data Used,21
CLS,1966,760,279,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.1375,4,5,3,2.5,Property Parcels,4,NZ River Lines,1,NA,2.13,0.6,Modelled Flow Data Used,21
CLS,1952,700,3.07,3.63,4,2,3,3,3,5,Soil Type Available & Modelled Pressure Available,3.965,4,5,3,1,NA,1,NA,1,NA,1.56,0.6,Modelled Flow Data Used,21
CLS,1966,760,213.95,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.07,4,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.6,Modelled Flow Data Used,21
CI,1954,390,1115.59,3.54,4,4,1,1,2,5,Soil Type Available & Modelled Pressure Available,4.16,4,5,1,5,"Schools & Hospitals, NZTA",1,Aquifer - Auckland Isthmus Volcanic Aquifer,5,"HV Power Lines, AT Main Roads",3.6,0.2,Modelled Flow Data Used,21
CLS,1966,760,5.94,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.07,4,5,3,2.5,Property Parcels,1,NA,1,NA,1.91,0.6,Modelled Flow Data Used,21
CLS,1966,760,880.51,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.1375,4,5,3,2.5,Property Parcels,4,NZ River Lines,1,NA,2.13,0.6,Modelled Flow Data Used,21
CLS,1966,760,7.82,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.0325,4,5,3,1,NA,4,NZ River Lines,1,NA,1.77,0.6,Modelled Flow Data Used,21
AC,1970,150,35.46,3.63,4,2,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,3.56,4,1,1,5,NZTA,1,Aquifer - Kaipara Sand Aquifer,5,AT Main Roads,3.6,0.2,Diameter Used for Flow Approximation,21
CLS,1953,700,1.72,3.63,4,2,3,3,3,5,Soil Type Available & Modelled Pressure Available,3.965,4,5,3,1,NA,1,NA,1,NA,1.56,0.6,Modelled Flow Data Used,21
MS,1970,50,0.56,3.54,4,4,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.2275,4,1,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.2,Modelled Flow Data Used,21
CLS,1966,760,204.16,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.1375,4,5,3,2.5,Property Parcels,4,NZ River Lines,1,NA,2.13,0.6,Modelled Flow Data Used,21
CLS,1966,760,35.94,3.62,4,2,5,3,2,5,Soil Type Available & Modelled Pressure Available,4.2425,4,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,0.6,Modelled Flow Data Used,21
CLS,1966,760,16.76,3.54,4,2,3,3,2,5,Soil Type Available & Modelled Pressure Available,3.965,4,5,3,1,NA,1,NA,1,NA,1.56,0.6,Modelled Flow Data Used,21
CONC,1945,1500,421.74,2.68,3,2,1,3,3,3,Soil Type Available & Modelled Pressure Not Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",1,"Significant Ecological Area - SEA_T_5539, Place Of Historic Heritage - Huia Filter Station",1,NA,2.47,1,Diameter Used for Flow Approximation,20
CONC,1957,2200,547.99,2.58,3,2,3,3,1,3,Soil Type Available & Modelled Pressure Available,5,5,5,5,2.5,"Building Outlines, Property Parcels",4,NZ River Lines,1,NA,2.69,1,Modelled Flow Data Used,20
CLS,1970,550,639.22,3.07,3,2,1,1,2,5,Soil Type Not Available & Modelled Pressure Available,4.8725,5,5,5,5,NZTA,1,NA,5,AT Main Roads,4.71,0.4,Modelled Flow Data Used,20
CLS,2002,1200,1,3.39,3,1,3,3,3,5,Soil Type Not Available & Modelled Pressure Not Available,5,5,5,5,2.5,Property Parcels,1,NA,1,NA,2.47,1,Diameter Used for Flow Approximation,20
